"Town","County","Route"
"Ardmore"," Waterford","Black"
"Youghal","Cork","Black"
"Lismore","Wateford","Black"
"Cahir","Tipperary","Black"
"Newcastle","Tipperary","Black"
"Ardagh","Longford","Blue"
"Ballymahon","Longford","Blue"
"Edgeworthstown","Longford","Blue"
"Granard","Longford","Blue"
"Fore","Westmeath","Blue"
"Oldcastle","Westmeath","Blue"
"Errigal","Donegal","Green"
"Gortahork","Donegal","Green"
"Carrick on Shannon","Leitrim","Green"
"Malin Head","Donegal","Ireland"
"Drumshambo","Leitrim","Green"
"Ceide","Mayo","Red"
"Easky","Sligo","Red"
"Sligo","Sligo","Red"
"Clara","Offaly","Maroon"
"Moate","Westmeath","Maroon"
"Athlone","Westmeath","Maroon"
"Tyrellspass","Westmeath","Maroon"
"Kilkee","Clare","Orange"
"Kilrush","Clare","Orange"
"Loophead","Clare","Orange"
"Tarbert","Kerry","Orange"
"Glin","Limerick","Orange"
"Abbeyfeale","Limerick","Orange"
"Doneraile","Cork","Pink"
"Macroom","Cork","Pink"
"Sneed","Kerry","Pink"
"Valentia","Kerry","Pink"
"Clifden","Galway","Purple"
"Cong","Galway","Purple"
"Killaloe","Clare","Maroon"
"Birr","Offaly","Maroon"
"Wateford","Waterford","Amber"
"Kilkenny","Kilkenny","Amber"
