"Town","County","Route"
"Ardmore"," Waterford","Black"
"Youghal","Cork","Black"
"Lismore","Wateford","Black"
"Cahir","Tipperary","Black"
"Cashel","Tipperary","Black"
"Newcastle","Tipperary","Black"
"Ardagh","Longford","Blue"
"Ballymahon","Longford","Blue"
"Edgeworthstown","Longford","Blue"
"Granard","Longford","Blue"
"Fore","Westmeath","Blue"
"Oldcastle","Westmeath","Blue"
"Kells","Westmeath","Blue"
"Errigal","Donegal","Green"
"Killybegs","Donegal","Green"
"Gortahork","Donegal","Green"
"Dunlewy","Donegal","Green"
"Carrick on Shannon","Leitrim","Green"
"Malin Head","Donegal","Green"
"Drumshambo","Leitrim","Brown"
Strokestown,Roscommon,Brown
Westport,Mayo,Brown
"Ceide","Mayo","Brown"
"Achill","Mayo","Brown"
"Easky","Sligo","Red"
"Sligo","Sligo","Red"
"Clara","Offaly","Maroon"
"Moate","Westmeath","Maroon"
"Florence Court",Fermanagh,"Brown"
"Athlone","Westmeath","Maroon"
"Tyrellspass","Westmeath","Maroon"
"Kilkee","Clare","Orange"
"Kilrush","Clare","Orange"
"Loophead","Clare","Orange"
"Tarbert","Kerry","Orange"
"Glin","Limerick","Orange"
"Abbeyfeale","Limerick","Orange"
"Doneraile","Cork","Pink"
"Macroom","Cork","Pink"
"Sneem","Kerry","Pink"
"Valentia","Kerry","Pink"
"Clifden","Galway","Purple"
"Cong","Galway","Purple"
"Killaloe","Clare","Maroon"
"Birr","Offaly","Maroon"
Durrow,Laois,Amber
AbbeyLeix,Laois,Amber
"Wateford","Waterford","Amber"
"Kilkenny","Kilkenny","Amber"
